,Usia,Gender,Gaji,Jumlah Anak
144,42,L,5-10jt,4
145,42,P,5-10jt,4
146,17,P,5-10jt,5
147,60,P,5-10jt,6
148,40,P,5-10jt,3
149,47,L,5-10jt,1
150,51,L,5-10jt,3
151,58,P,5-10jt,0
152,31,P,5-10jt,5
153,57,L,5-10jt,4
154,57,L,5-10jt,1
155,19,L,5-10jt,6
156,35,L,5-10jt,1
157,19,L,5-10jt,4
158,44,L,5-10jt,5
159,27,L,5-10jt,6
160,33,P,5-10jt,1
161,44,P,5-10jt,0
162,40,L,5-10jt,0
163,38,P,5-10jt,1
164,25,L,5-10jt,3
165,33,L,5-10jt,1
166,33,L,5-10jt,3
167,45,L,5-10jt,1
168,40,P,5-10jt,2
169,27,P,5-10jt,4
170,59,L,5-10jt,6
171,32,P,5-10jt,5
172,38,L,5-10jt,4
173,40,L,5-10jt,6
174,56,L,5-10jt,6
175,49,P,5-10jt,3
176,38,L,5-10jt,6
177,18,L,5-10jt,3
178,57,L,5-10jt,1
179,40,P,5-10jt,3
180,58,L,5-10jt,6
181,23,P,5-10jt,6
182,22,L,5-10jt,4
183,48,L,5-10jt,3
184,42,P,5-10jt,1
185,40,P,5-10jt,4
186,48,L,5-10jt,2
187,58,P,5-10jt,0
188,55,L,5-10jt,4
189,23,L,5-10jt,6
190,47,L,5-10jt,6
191,31,P,5-10jt,0
192,35,P,5-10jt,4
193,51,L,5-10jt,3
194,48,P,5-10jt,2
195,48,P,5-10jt,1
196,58,L,5-10jt,6
197,53,L,5-10jt,3
198,51,L,5-10jt,2
199,20,L,5-10jt,0
200,57,L,5-10jt,4
201,27,L,5-10jt,4
202,32,L,5-10jt,1
203,36,P,5-10jt,5
204,31,L,5-10jt,5
205,50,L,5-10jt,6
206,41,L,5-10jt,0
207,26,P,5-10jt,3
208,25,L,5-10jt,5
209,45,L,5-10jt,3
210,40,L,5-10jt,1
211,42,P,5-10jt,5
212,57,L,5-10jt,4
213,26,P,5-10jt,1
214,20,L,5-10jt,2
215,45,L,5-10jt,0
216,17,P,5-10jt,4
217,21,L,5-10jt,6
218,34,L,5-10jt,3
219,29,P,5-10jt,6
220,21,P,5-10jt,2
221,50,P,5-10jt,0
222,36,P,5-10jt,0
223,57,P,5-10jt,4
224,55,P,5-10jt,3
225,47,L,5-10jt,3
226,47,L,5-10jt,2
227,30,L,5-10jt,5
228,33,L,5-10jt,4
229,54,L,5-10jt,4
230,18,L,5-10jt,6
231,24,L,5-10jt,0
232,50,P,5-10jt,5
233,34,L,5-10jt,5
234,31,P,5-10jt,6
235,55,P,5-10jt,6
236,18,L,5-10jt,1
237,52,L,5-10jt,3
238,18,L,5-10jt,4
239,46,P,5-10jt,0
240,58,L,5-10jt,0
241,18,P,5-10jt,5
242,32,L,5-10jt,3
243,19,P,5-10jt,1
244,43,P,5-10jt,4
245,46,L,5-10jt,5
246,49,L,5-10jt,0
247,20,L,5-10jt,0
248,20,P,5-10jt,2
249,18,P,5-10jt,3
250,55,P,5-10jt,5
251,34,P,5-10jt,4
252,56,P,5-10jt,4
253,28,L,5-10jt,5
254,25,L,5-10jt,1
255,52,L,5-10jt,0
256,27,P,5-10jt,1
257,48,P,5-10jt,1
258,27,L,5-10jt,5
259,20,L,5-10jt,5
260,43,P,5-10jt,4
261,37,L,5-10jt,5
262,30,P,5-10jt,0
263,59,L,5-10jt,3
264,51,L,5-10jt,0
265,35,P,5-10jt,3
266,60,L,5-10jt,3
267,17,P,5-10jt,4
268,49,L,5-10jt,0
269,43,L,5-10jt,5
270,55,L,5-10jt,6
271,56,P,5-10jt,2
272,28,P,5-10jt,6
273,58,L,5-10jt,2
274,51,L,5-10jt,4
275,54,P,5-10jt,4
276,58,P,5-10jt,3
277,25,P,5-10jt,4
278,30,P,5-10jt,6
279,19,L,5-10jt,5
280,42,P,5-10jt,0
281,53,P,5-10jt,2
282,24,P,5-10jt,2
283,59,L,5-10jt,2
284,27,P,5-10jt,1
285,31,L,5-10jt,6
286,38,L,5-10jt,1
287,54,P,5-10jt,1
288,23,L,5-10jt,5
289,49,P,5-10jt,1
290,28,P,5-10jt,0
291,55,L,5-10jt,4
292,49,P,5-10jt,1
293,19,L,5-10jt,2
294,25,P,5-10jt,3
295,54,P,5-10jt,6
296,39,L,5-10jt,3
297,48,P,5-10jt,0
298,17,P,5-10jt,0
299,32,L,5-10jt,0
300,18,L,5-10jt,0
301,43,L,5-10jt,2
302,18,P,5-10jt,4
303,45,L,5-10jt,1
304,42,L,5-10jt,4
305,20,P,5-10jt,4
306,18,P,5-10jt,1
307,35,P,5-10jt,3
308,24,P,5-10jt,0
309,25,L,5-10jt,0
310,38,P,5-10jt,3
311,45,L,5-10jt,0
312,49,P,5-10jt,5
313,26,P,5-10jt,5
314,50,P,5-10jt,4
315,19,P,5-10jt,4
316,17,L,5-10jt,5
317,33,L,5-10jt,0
318,43,P,5-10jt,0
319,48,P,5-10jt,4
320,60,P,5-10jt,1
321,52,L,5-10jt,6
322,50,L,5-10jt,3
323,43,P,5-10jt,1
324,28,P,5-10jt,4
325,22,L,5-10jt,6
326,24,L,5-10jt,5
327,29,L,5-10jt,0
328,22,L,5-10jt,4
329,36,P,5-10jt,6
330,53,L,5-10jt,0
331,57,L,5-10jt,6
332,33,L,5-10jt,5
333,55,P,5-10jt,2
334,51,L,5-10jt,4
335,52,L,5-10jt,5
336,21,P,5-10jt,2
337,25,P,5-10jt,4
338,52,P,5-10jt,6
339,47,P,5-10jt,0
340,59,P,5-10jt,0
341,33,P,5-10jt,1
342,31,L,5-10jt,3
343,21,P,5-10jt,2
344,37,P,5-10jt,0
345,42,L,5-10jt,3
346,18,P,5-10jt,3
347,23,L,5-10jt,1
348,22,L,5-10jt,5
349,48,L,5-10jt,0
350,18,L,5-10jt,3
351,22,L,5-10jt,0
352,57,L,5-10jt,3
353,60,P,5-10jt,4
354,34,L,5-10jt,5
355,39,L,5-10jt,6
356,47,P,5-10jt,1
357,51,P,5-10jt,0
358,47,P,5-10jt,5
359,53,L,5-10jt,2
360,46,P,5-10jt,3
361,19,P,5-10jt,1
362,57,P,5-10jt,3
363,26,L,5-10jt,6
364,58,L,5-10jt,5
365,50,P,5-10jt,2
366,36,P,5-10jt,2
367,41,L,5-10jt,5
368,45,L,5-10jt,2
369,51,L,5-10jt,2
370,26,P,5-10jt,3
371,49,P,5-10jt,4
372,57,P,5-10jt,5
373,52,L,5-10jt,2
374,47,L,5-10jt,6
375,60,L,5-10jt,6
376,51,L,5-10jt,0
377,44,P,5-10jt,4
378,47,P,5-10jt,0
379,51,L,5-10jt,4
380,25,P,5-10jt,5
381,52,P,5-10jt,6
382,24,P,5-10jt,1
383,59,P,5-10jt,5
384,58,L,5-10jt,2
385,28,L,5-10jt,0
386,30,L,5-10jt,5
387,36,P,5-10jt,2
388,40,L,5-10jt,1
389,24,L,5-10jt,5
390,19,L,5-10jt,2
391,41,P,5-10jt,1
392,54,L,5-10jt,5
393,50,P,5-10jt,5
394,21,P,5-10jt,0
395,18,L,5-10jt,4
396,60,P,5-10jt,5
397,18,P,5-10jt,3
398,60,L,5-10jt,6
399,19,P,5-10jt,2
400,29,L,5-10jt,1
401,42,P,5-10jt,4
402,54,L,5-10jt,5
403,22,L,5-10jt,4
404,18,P,5-10jt,5
405,26,L,5-10jt,1
406,24,P,5-10jt,6
407,23,L,5-10jt,1
408,51,L,5-10jt,6
409,34,P,5-10jt,1
410,58,L,5-10jt,0
411,49,P,5-10jt,4
412,57,L,5-10jt,1
413,18,L,5-10jt,3
414,28,P,5-10jt,1
415,47,L,5-10jt,4
416,42,L,5-10jt,1
417,49,P,5-10jt,2
418,55,P,5-10jt,6
419,46,L,5-10jt,0
420,24,P,5-10jt,4
421,29,P,5-10jt,6
422,20,P,5-10jt,3
423,37,L,5-10jt,3
424,44,L,5-10jt,0
425,32,P,5-10jt,6
426,44,P,5-10jt,2
427,46,P,5-10jt,4
428,55,P,5-10jt,6
429,43,L,5-10jt,2
430,56,L,5-10jt,6
431,45,P,5-10jt,2
432,29,L,5-10jt,5
433,58,L,5-10jt,6
434,30,P,5-10jt,0
435,22,P,5-10jt,0
436,53,L,5-10jt,6
437,41,L,5-10jt,2
438,30,P,5-10jt,5
439,24,L,5-10jt,4
440,32,L,5-10jt,2
441,32,P,5-10jt,1
442,42,L,5-10jt,2
443,23,P,5-10jt,2
444,21,L,5-10jt,3
445,23,P,5-10jt,1
446,52,P,5-10jt,5
447,25,P,5-10jt,4
448,52,L,5-10jt,5
449,31,L,5-10jt,6
450,37,L,5-10jt,0
451,19,L,5-10jt,6
452,32,P,5-10jt,4
453,32,L,5-10jt,2
454,28,P,5-10jt,4
455,24,P,5-10jt,1
456,45,L,5-10jt,5
457,18,P,5-10jt,0
458,44,L,5-10jt,0
459,26,L,5-10jt,1
460,43,L,5-10jt,0
461,23,L,5-10jt,3
462,23,P,5-10jt,1
463,24,L,5-10jt,5
464,59,P,5-10jt,4
465,33,L,5-10jt,2
466,30,L,5-10jt,0
467,60,P,5-10jt,1
468,33,L,5-10jt,2
469,41,P,5-10jt,3
470,44,L,5-10jt,2
471,46,P,5-10jt,1
472,20,P,5-10jt,0
473,27,L,5-10jt,1
474,34,P,5-10jt,6
475,22,P,5-10jt,1
476,48,L,5-10jt,0
477,50,L,5-10jt,6
478,49,L,5-10jt,5
479,58,P,5-10jt,1
480,41,L,5-10jt,4
481,26,L,5-10jt,3
482,31,L,5-10jt,5
483,31,P,5-10jt,3
484,19,L,5-10jt,1
485,25,P,5-10jt,0
486,28,L,5-10jt,3
487,40,L,5-10jt,2
488,36,P,5-10jt,1
489,44,P,5-10jt,4
490,57,P,5-10jt,6
491,37,L,5-10jt,5
492,34,P,5-10jt,3
493,52,L,5-10jt,2
494,19,P,5-10jt,1
495,48,P,5-10jt,0
496,49,L,5-10jt,4
497,57,P,5-10jt,3
498,55,P,5-10jt,5
499,38,P,5-10jt,0
500,56,L,5-10jt,4
501,25,P,5-10jt,6
502,56,L,5-10jt,1
503,33,P,5-10jt,3
504,22,P,5-10jt,0
505,26,P,5-10jt,6
506,23,L,5-10jt,3
507,24,L,5-10jt,2
508,48,L,5-10jt,5
509,42,L,5-10jt,1
510,23,P,5-10jt,0
511,29,P,5-10jt,5
512,17,L,5-10jt,0
513,41,P,5-10jt,1
514,41,P,5-10jt,6
515,55,P,5-10jt,6
516,20,L,5-10jt,1
517,27,L,5-10jt,0
518,21,P,5-10jt,4
519,33,P,5-10jt,4
520,47,P,5-10jt,1
521,55,L,5-10jt,1
522,18,P,5-10jt,3
523,23,L,5-10jt,3
524,18,P,5-10jt,0
525,49,P,5-10jt,0
526,28,L,5-10jt,5
527,22,L,5-10jt,4
528,46,L,5-10jt,0
529,51,P,5-10jt,2
530,29,L,5-10jt,3
531,55,L,5-10jt,4
532,48,L,5-10jt,2
533,43,L,5-10jt,4
534,39,P,5-10jt,6
535,60,L,5-10jt,4
536,46,L,5-10jt,1
537,52,P,5-10jt,6
538,21,L,5-10jt,5
539,18,L,5-10jt,5
540,24,L,5-10jt,2
541,22,L,5-10jt,2
542,28,P,5-10jt,2
543,53,L,5-10jt,0
544,36,P,5-10jt,3
545,45,P,5-10jt,2
546,54,P,5-10jt,1
547,45,L,5-10jt,5
548,33,L,5-10jt,2
549,40,P,5-10jt,1
550,17,P,5-10jt,4
551,40,P,5-10jt,4
552,17,P,5-10jt,1
553,52,L,5-10jt,3
554,43,P,5-10jt,4
555,25,P,5-10jt,4
556,58,P,5-10jt,5
557,21,P,5-10jt,0
558,43,P,5-10jt,3
559,39,P,5-10jt,4
560,51,P,5-10jt,6
561,22,P,5-10jt,0
562,34,L,5-10jt,2
563,24,L,5-10jt,0
564,60,P,5-10jt,1
565,30,P,5-10jt,6
566,17,P,5-10jt,6
567,29,P,5-10jt,4
568,24,L,5-10jt,6
569,26,L,5-10jt,4
570,51,L,5-10jt,2
571,44,L,5-10jt,0
572,52,L,5-10jt,0
573,41,L,5-10jt,5
574,45,P,5-10jt,6
575,36,L,5-10jt,2
576,24,P,5-10jt,0
577,51,P,5-10jt,1
578,51,L,5-10jt,1
579,58,P,5-10jt,2
580,37,L,5-10jt,6
581,52,P,5-10jt,3
582,54,L,5-10jt,5
583,23,P,5-10jt,5
584,17,L,5-10jt,6
585,21,L,5-10jt,3
586,30,L,5-10jt,6
587,59,L,5-10jt,6
588,25,L,5-10jt,4
589,17,P,5-10jt,2
590,19,L,5-10jt,5
591,22,L,5-10jt,3
592,49,L,5-10jt,3
593,47,L,5-10jt,6
594,25,L,5-10jt,3
595,53,P,5-10jt,6
596,39,P,5-10jt,6
597,33,L,5-10jt,0
598,33,L,5-10jt,0
599,19,L,5-10jt,6
600,22,L,5-10jt,4
601,19,L,5-10jt,2
602,26,P,5-10jt,0
603,54,P,5-10jt,0
604,28,P,5-10jt,3
605,40,L,5-10jt,4
606,43,L,5-10jt,0
607,57,P,5-10jt,0
608,41,P,5-10jt,0
609,38,L,5-10jt,0
610,20,L,5-10jt,3
611,35,L,5-10jt,5
612,51,P,5-10jt,3
613,24,P,5-10jt,5
614,58,L,5-10jt,4
615,51,L,5-10jt,3
616,18,L,5-10jt,5
617,17,P,5-10jt,6
618,49,L,5-10jt,0
619,22,L,5-10jt,6
620,53,P,5-10jt,5
621,53,P,5-10jt,2
622,50,L,5-10jt,5
623,35,P,5-10jt,3
624,32,P,5-10jt,1
625,17,L,5-10jt,3
626,34,L,5-10jt,3
627,54,P,5-10jt,2
628,46,L,5-10jt,1
629,25,P,5-10jt,3
630,38,P,5-10jt,2
631,47,P,5-10jt,5
632,20,L,5-10jt,5
633,48,L,5-10jt,2
634,48,P,5-10jt,2
635,53,L,5-10jt,3
636,30,P,5-10jt,6
637,34,P,5-10jt,5
638,27,L,5-10jt,6
639,22,L,5-10jt,2
640,52,L,5-10jt,5
641,46,L,5-10jt,6
642,47,P,5-10jt,6
643,58,P,5-10jt,6
644,35,P,5-10jt,5
645,37,L,5-10jt,3
646,57,L,5-10jt,3
647,51,P,5-10jt,6
648,47,L,5-10jt,1
649,38,L,5-10jt,2
650,40,L,5-10jt,1
651,31,L,5-10jt,5
652,34,L,5-10jt,3
653,37,P,5-10jt,5
654,28,L,5-10jt,4
655,18,L,5-10jt,6
656,47,L,5-10jt,0
657,32,P,5-10jt,1
658,23,P,5-10jt,2
659,53,L,5-10jt,2
660,49,P,5-10jt,4
661,41,L,5-10jt,6
662,35,L,5-10jt,4
663,56,L,5-10jt,2
664,17,L,5-10jt,3
665,17,P,5-10jt,1
666,56,L,5-10jt,1
667,45,P,5-10jt,1
668,49,L,5-10jt,2
669,47,L,5-10jt,2
670,31,P,5-10jt,1
671,17,L,5-10jt,3
672,39,P,5-10jt,5
673,58,P,5-10jt,0
674,43,L,5-10jt,4
675,19,L,5-10jt,4
676,41,L,5-10jt,0
677,48,L,5-10jt,6
678,34,L,5-10jt,1
679,32,L,5-10jt,5
680,28,P,5-10jt,3
681,37,P,5-10jt,2
682,31,P,5-10jt,3
683,33,P,5-10jt,2
684,20,P,5-10jt,5
685,25,L,5-10jt,6
686,39,L,5-10jt,5
687,50,L,5-10jt,6
688,57,L,5-10jt,4
689,37,P,5-10jt,3
690,31,L,5-10jt,4
691,37,L,5-10jt,5
692,46,L,5-10jt,1
693,56,L,5-10jt,1
694,30,P,5-10jt,6
695,52,P,5-10jt,0
696,31,L,5-10jt,4
697,37,P,5-10jt,2
698,40,P,5-10jt,0
699,53,P,5-10jt,4
700,27,P,5-10jt,6
701,33,P,5-10jt,6
702,29,L,5-10jt,3
703,57,L,5-10jt,3
704,26,L,5-10jt,4
705,44,L,5-10jt,5
706,26,L,5-10jt,1
707,52,L,5-10jt,0
708,52,P,5-10jt,5
709,30,L,5-10jt,6
710,44,L,5-10jt,3
711,58,L,5-10jt,4
712,49,P,5-10jt,4
713,34,P,5-10jt,3
714,41,P,5-10jt,5
715,21,P,5-10jt,1
716,50,P,5-10jt,4
717,58,P,5-10jt,5
718,39,L,5-10jt,0
719,39,L,5-10jt,1
720,48,P,5-10jt,3
721,51,L,5-10jt,5
722,42,P,5-10jt,1
723,47,L,5-10jt,2
724,18,L,5-10jt,3
725,51,L,5-10jt,4
726,56,P,5-10jt,3
727,22,L,5-10jt,4
728,57,P,5-10jt,6
729,49,P,5-10jt,1
730,26,P,5-10jt,5
731,52,P,5-10jt,4
732,20,L,5-10jt,1
733,33,P,5-10jt,0
734,51,L,5-10jt,5
735,23,P,5-10jt,3
736,41,P,5-10jt,0
737,56,L,5-10jt,0
738,32,L,5-10jt,5
739,24,L,5-10jt,0
740,32,P,5-10jt,3
741,53,L,5-10jt,1
742,31,P,5-10jt,0
743,33,P,5-10jt,1
744,44,L,5-10jt,4
745,52,L,5-10jt,4
746,17,L,5-10jt,0
747,35,P,5-10jt,3
748,52,P,5-10jt,3
749,19,L,5-10jt,0
750,52,L,5-10jt,3
751,29,P,5-10jt,2
752,54,P,5-10jt,0
753,34,L,5-10jt,5
754,29,P,5-10jt,6
755,58,P,5-10jt,4
756,59,L,5-10jt,2
757,38,P,5-10jt,3
758,38,L,5-10jt,1
759,28,P,5-10jt,4
760,60,L,5-10jt,4
761,37,P,5-10jt,3
762,39,L,5-10jt,5
763,35,P,5-10jt,4
764,51,L,5-10jt,6
765,27,P,5-10jt,5
766,18,P,5-10jt,3
767,60,P,5-10jt,5
768,57,L,5-10jt,1
769,39,P,5-10jt,3
770,31,P,5-10jt,0
771,54,L,5-10jt,2
772,33,L,5-10jt,2
773,43,L,5-10jt,3
774,38,L,5-10jt,0
775,17,P,5-10jt,1
776,38,L,5-10jt,6
777,57,L,5-10jt,5
778,31,P,5-10jt,3
779,31,L,5-10jt,0
780,25,P,5-10jt,5
781,27,P,5-10jt,0
782,41,L,5-10jt,4
783,26,L,5-10jt,4
784,45,P,5-10jt,3
785,41,L,5-10jt,6
786,54,P,5-10jt,2
787,23,L,5-10jt,0
788,50,L,5-10jt,3
789,51,L,5-10jt,5
790,53,L,5-10jt,6
791,39,L,5-10jt,2
792,19,L,5-10jt,4
793,19,P,5-10jt,1
794,31,L,5-10jt,2
795,30,L,5-10jt,6
796,36,L,5-10jt,4
797,55,L,5-10jt,5
798,25,L,5-10jt,0
799,23,P,5-10jt,3
800,42,P,5-10jt,1
801,26,P,5-10jt,0
802,39,P,5-10jt,0
803,32,L,5-10jt,1
804,38,L,5-10jt,6
805,30,L,5-10jt,3
806,41,L,5-10jt,5
807,39,P,5-10jt,3
808,47,P,5-10jt,6
809,22,P,5-10jt,5
810,17,P,5-10jt,2
811,34,L,5-10jt,5
812,25,P,5-10jt,2
813,31,P,5-10jt,2
814,43,L,5-10jt,0
815,56,P,5-10jt,5
816,26,L,5-10jt,0
817,19,P,5-10jt,2
818,31,L,5-10jt,4
819,42,P,5-10jt,6
820,37,P,5-10jt,3
821,59,L,5-10jt,4
822,48,L,5-10jt,2
823,28,L,5-10jt,1
824,58,P,5-10jt,1
825,54,P,5-10jt,2
826,38,P,5-10jt,2
827,20,L,5-10jt,6
828,28,P,5-10jt,0
829,18,P,5-10jt,4
830,49,L,5-10jt,6
831,37,P,5-10jt,0
832,24,P,5-10jt,3
833,43,P,5-10jt,3
834,34,P,5-10jt,3
835,50,L,5-10jt,5
836,23,L,5-10jt,1
837,53,P,5-10jt,2
838,24,P,5-10jt,1
839,49,L,5-10jt,3
840,22,L,5-10jt,2
841,55,P,5-10jt,1
842,47,P,5-10jt,5
843,51,L,5-10jt,6
844,24,L,5-10jt,4
845,48,P,5-10jt,3
846,51,L,5-10jt,3
847,25,L,5-10jt,4
848,26,P,5-10jt,4
849,46,P,5-10jt,4
850,39,L,5-10jt,6
851,33,L,5-10jt,4
852,58,P,5-10jt,0
853,19,L,5-10jt,5
854,37,P,5-10jt,6
855,43,L,5-10jt,2
856,58,P,5-10jt,1
857,31,P,5-10jt,4
858,52,P,5-10jt,2
859,46,P,5-10jt,2
860,29,P,5-10jt,1
861,51,P,5-10jt,2
862,21,P,5-10jt,4
863,48,L,5-10jt,4
864,59,P,5-10jt,2
865,38,L,5-10jt,2
866,48,P,5-10jt,0
867,60,P,5-10jt,4
868,29,L,5-10jt,0
869,22,P,5-10jt,2
870,17,L,5-10jt,4
871,40,P,5-10jt,5
872,31,P,5-10jt,3
873,30,L,5-10jt,1
874,53,P,5-10jt,3
875,37,P,5-10jt,4
876,39,P,5-10jt,0
877,31,L,5-10jt,5
878,24,L,5-10jt,1
879,46,P,5-10jt,5
880,27,L,5-10jt,2
881,30,P,5-10jt,0
882,18,P,5-10jt,3
883,56,L,5-10jt,4
884,56,P,5-10jt,4
885,28,P,5-10jt,2
886,45,P,5-10jt,6
887,28,L,5-10jt,4
888,20,P,5-10jt,6
889,30,L,5-10jt,1
890,19,P,5-10jt,6
891,25,L,5-10jt,5
892,42,L,5-10jt,5
893,25,P,5-10jt,5
894,37,P,5-10jt,0
895,32,P,5-10jt,5
896,58,L,5-10jt,2
897,41,L,5-10jt,6
898,45,P,5-10jt,1
899,49,L,5-10jt,4
900,56,L,5-10jt,1
901,29,P,5-10jt,6
902,32,L,5-10jt,4
903,60,P,5-10jt,5
904,58,L,5-10jt,2
905,59,L,5-10jt,1
906,39,L,5-10jt,4
907,27,P,5-10jt,2
908,45,P,5-10jt,1
909,40,P,5-10jt,6
910,48,L,5-10jt,3
911,26,P,5-10jt,3
912,55,P,5-10jt,2
913,20,L,5-10jt,3
914,19,L,5-10jt,1
915,34,P,5-10jt,0
916,50,P,5-10jt,5
917,39,P,5-10jt,3
918,42,P,5-10jt,4
919,35,L,5-10jt,1
920,25,L,5-10jt,4
921,50,L,5-10jt,1
922,54,L,5-10jt,1
923,28,P,5-10jt,6
924,25,L,5-10jt,6
925,37,P,5-10jt,1
926,38,P,5-10jt,4
927,32,L,5-10jt,1
928,24,P,5-10jt,2
929,48,P,5-10jt,3
930,55,P,5-10jt,3
931,53,P,5-10jt,4
932,47,L,5-10jt,6
933,60,P,5-10jt,3
934,25,P,5-10jt,5
935,56,L,5-10jt,0
936,52,L,5-10jt,1
937,50,L,5-10jt,0
938,55,P,5-10jt,3
939,25,L,5-10jt,6
940,19,P,5-10jt,6
941,20,P,5-10jt,2
942,25,P,5-10jt,5
943,37,L,5-10jt,2
944,19,L,5-10jt,6
945,27,L,5-10jt,3
946,48,P,5-10jt,6
947,46,L,5-10jt,4
948,29,L,5-10jt,6
949,51,P,5-10jt,5
950,31,L,5-10jt,6
951,41,L,5-10jt,0
952,18,L,5-10jt,2
953,35,L,5-10jt,5
954,27,P,5-10jt,5
955,39,L,5-10jt,0
956,21,P,5-10jt,5
957,48,P,5-10jt,5
958,25,L,5-10jt,6
959,21,P,5-10jt,2
960,34,L,5-10jt,0
961,56,L,5-10jt,6
962,37,P,5-10jt,2
963,53,P,5-10jt,2
964,39,L,5-10jt,2
965,18,L,5-10jt,5
966,36,L,5-10jt,6
967,31,L,5-10jt,5
968,43,L,5-10jt,3
969,60,P,5-10jt,1
970,34,L,5-10jt,5
971,21,L,5-10jt,0
972,30,P,5-10jt,5
973,59,P,5-10jt,1
974,19,P,5-10jt,6
975,53,P,5-10jt,2
976,56,L,5-10jt,4
977,29,L,5-10jt,1
978,60,P,5-10jt,3
979,23,P,5-10jt,3
980,36,L,5-10jt,4
981,59,L,5-10jt,5
982,49,P,5-10jt,1
983,37,L,5-10jt,2
984,19,P,5-10jt,5
985,54,P,5-10jt,1
986,51,L,5-10jt,4
987,42,L,5-10jt,0
988,36,L,5-10jt,1
989,20,P,5-10jt,5
990,17,L,5-10jt,2
991,26,L,5-10jt,3
992,26,L,5-10jt,5
993,54,P,5-10jt,6
994,20,L,5-10jt,2
995,40,L,5-10jt,2
